47.2506 	EXP 	image: autoDraw = True
48.2205 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', 'red'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
48.2360 	EXP 	image: autoDraw = False
48.2360 	EXP 	Target: color = 'blue (named)'
48.2360 	EXP 	Target: text = 'red'
48.7194 	EXP 	Target: autoDraw = True
49.0453 	DATA 	Keypress: right
49.0533 	EXP 	Target: autoDraw = False
49.0533 	EXP 	image: image = 'correct.jpeg'
49.0533 	EXP 	image: autoDraw = True
50.0539 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
50.0689 	EXP 	image: autoDraw = False
50.0689 	EXP 	Target: color = 'red (named)'
50.0689 	EXP 	Target: text = 'red'
50.5526 	EXP 	Target: autoDraw = True
51.0315 	DATA 	Keypress: up
51.0524 	EXP 	Target: autoDraw = False
51.0524 	EXP 	image: image = 'incorrect.jpeg'
51.0524 	EXP 	image: autoDraw = True
52.0047 	EXP 	New trial (rep=1, index=0): OrderedDict([('word', 'red'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
52.0197 	EXP 	image: autoDraw = False
52.0197 	EXP 	Target: color = 'blue (named)'
52.0197 	EXP 	Target: text = 'red'
52.5021 	EXP 	Target: autoDraw = True
52.9268 	DATA 	Keypress: left
52.9351 	EXP 	Target: autoDraw = False
52.9351 	EXP 	image: image = 'incorrect.jpeg'
52.9351 	EXP 	image: autoDraw = True
53.8874 	EXP 	New trial (rep=1, index=1): OrderedDict([('word', 'blue'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
53.9031 	EXP 	image: autoDraw = False
53.9031 	EXP 	Target: color = 'green (named)'
53.9031 	EXP 	Target: text = 'blue'
54.3858 	EXP 	Target: autoDraw = True
54.6602 	DATA 	Keypress: down
54.6696 	EXP 	Target: autoDraw = False
54.6696 	EXP 	image: image = 'correct.jpeg'
54.6696 	EXP 	image: autoDraw = True
55.6541 	EXP 	New trial (rep=1, index=2): OrderedDict([('word', 'green'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
55.6867 	EXP 	image: autoDraw = False
55.6867 	EXP 	image: autoDraw = False
55.6867 	EXP 	Target: color = 'yellow (named)'
55.6867 	EXP 	Target: text = 'green'
56.1699 	EXP 	Target: autoDraw = True
56.4964 	DATA 	Keypress: right
