45.4130 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', 'yellow'), ('colour', 'yellow'), ('congruent', 1), ('corrAns', 'up')])
45.9953 	EXP 	image: autoDraw = False
45.9953 	EXP 	Target: color = 'yellow (named)'
45.9953 	EXP 	Target: text = 'yellow'
46.4966 	EXP 	Target: autoDraw = True
46.8999 	DATA 	Keypress: left
46.9126 	EXP 	Target: autoDraw = False
46.9126 	EXP 	image: image = 'incorrect.jpeg'
46.9126 	EXP 	image: autoDraw = True
47.8629 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
47.8797 	EXP 	image: autoDraw = False
47.8797 	EXP 	Target: color = 'blue (named)'
47.8797 	EXP 	Target: text = 'blue'
48.3624 	EXP 	Target: autoDraw = True
48.7911 	DATA 	Keypress: down
48.8135 	EXP 	Target: autoDraw = False
48.8135 	EXP 	image: image = 'incorrect.jpeg'
48.8135 	EXP 	image: autoDraw = True
49.7646 	EXP 	New trial (rep=1, index=0): OrderedDict([('word', 'red'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
49.7802 	EXP 	image: autoDraw = False
49.7802 	EXP 	Target: color = 'yellow (named)'
49.7802 	EXP 	Target: text = 'red'
50.2797 	EXP 	Target: autoDraw = True
50.7470 	DATA 	Keypress: right
50.7628 	EXP 	Target: autoDraw = False
50.7628 	EXP 	image: image = 'incorrect.jpeg'
50.7628 	EXP 	image: autoDraw = True
51.7146 	EXP 	New trial (rep=1, index=1): OrderedDict([('word', 'yellow'), ('colour', 'yellow'), ('congruent', 1), ('corrAns', 'up')])
51.7463 	EXP 	image: autoDraw = False
51.7463 	EXP 	Target: color = 'yellow (named)'
51.7463 	EXP 	Target: text = 'yellow'
52.2291 	EXP 	Target: autoDraw = True
52.7390 	DATA 	Keypress: down
52.7467 	EXP 	Target: autoDraw = False
52.7467 	EXP 	image: image = 'incorrect.jpeg'
52.7467 	EXP 	image: autoDraw = True
53.7134 	EXP 	New trial (rep=1, index=2): OrderedDict([('word', 'green'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
53.7286 	EXP 	image: autoDraw = False
53.7286 	EXP 	Target: color = 'yellow (named)'
53.7286 	EXP 	Target: text = 'green'
54.2128 	EXP 	Target: autoDraw = True
54.7078 	DATA 	Keypress: left
54.7294 	EXP 	Target: autoDraw = False
54.7294 	EXP 	image: image = 'incorrect.jpeg'
54.7294 	EXP 	image: autoDraw = True
55.6814 	EXP 	New trial (rep=1, index=3): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
55.6966 	EXP 	image: autoDraw = False
55.6966 	EXP 	Target: color = 'blue (named)'
55.6966 	EXP 	Target: text = 'blue'
56.1800 	EXP 	Target: autoDraw = True
56.6379 	DATA 	Keypress: down
56.6467 	EXP 	Target: autoDraw = False
56.6467 	EXP 	image: image = 'incorrect.jpeg'
56.6467 	EXP 	image: autoDraw = True
57.6152 	EXP 	New trial (rep=1, index=4): OrderedDict([('word', 'blue'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
57.6309 	EXP 	image: autoDraw = False
57.6309 	EXP 	Target: color = 'yellow (named)'
57.6309 	EXP 	Target: text = 'blue'
58.1136 	EXP 	Target: autoDraw = True
58.5927 	DATA 	Keypress: right
58.6141 	EXP 	Target: autoDraw = False
58.6141 	EXP 	image: image = 'incorrect.jpeg'
58.6141 	EXP 	image: autoDraw = True
59.5652 	EXP 	New trial (rep=1, index=5): OrderedDict([('word', 'red'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
59.5804 	EXP 	image: autoDraw = False
59.5804 	EXP 	Target: color = 'blue (named)'
59.5804 	EXP 	Target: text = 'red'
60.0645 	EXP 	Target: autoDraw = True
60.4708 	DATA 	Keypress: down
60.4797 	EXP 	Target: autoDraw = False
60.4797 	EXP 	image: image = 'incorrect.jpeg'
60.4797 	EXP 	image: autoDraw = True
61.4486 	EXP 	New trial (rep=1, index=6): OrderedDict([('word', 'blue'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
61.4640 	EXP 	image: autoDraw = False
61.4640 	EXP 	Target: color = 'green (named)'
61.4640 	EXP 	Target: text = 'blue'
61.9478 	EXP 	Target: autoDraw = True
62.4502 	DATA 	Keypress: down
62.4641 	EXP 	Target: autoDraw = False
62.4641 	EXP 	image: image = 'correct.jpeg'
62.4641 	EXP 	image: autoDraw = True
63.4492 	EXP 	New trial (rep=1, index=7): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
63.4803 	EXP 	image: autoDraw = False
63.4803 	EXP 	Target: color = 'green (named)'
63.4803 	EXP 	Target: text = 'green'
63.9641 	EXP 	Target: autoDraw = True
64.4509 	DATA 	Keypress: down
64.4797 	EXP 	Target: autoDraw = False
64.4797 	EXP 	image: image = 'correct.jpeg'
64.4797 	EXP 	image: autoDraw = True
65.4649 	EXP 	New trial (rep=1, index=8): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
65.4800 	EXP 	image: autoDraw = False
65.4800 	EXP 	image: autoDraw = False
65.4800 	EXP 	Target: color = 'green (named)'
65.4800 	EXP 	Target: text = 'red'
65.9639 	EXP 	Target: autoDraw = True
66.4869 	DATA 	Keypress: down
66.4977 	EXP 	Target: autoDraw = False
66.4977 	EXP 	image: image = 'correct.jpeg'
66.4977 	EXP 	image: autoDraw = True
67.4830 	EXP 	New trial (rep=1, index=9): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
67.4980 	EXP 	image: autoDraw = False
67.4980 	EXP 	image: autoDraw = False
67.4980 	EXP 	Target: color = 'red (named)'
67.4980 	EXP 	Target: text = 'red'
67.9812 	EXP 	Target: autoDraw = True
68.5579 	DATA 	Keypress: down
68.5808 	EXP 	Target: autoDraw = False
68.5808 	EXP 	image: image = 'incorrect.jpeg'
68.5808 	EXP 	image: autoDraw = True
69.5328 	EXP 	New trial (rep=2, index=0): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
69.5482 	EXP 	image: autoDraw = False
69.5482 	EXP 	Target: color = 'green (named)'
69.5482 	EXP 	Target: text = 'red'
70.0316 	EXP 	Target: autoDraw = True
71.0717 	DATA 	Keypress: right
71.0809 	EXP 	Target: autoDraw = False
71.0809 	EXP 	image: image = 'incorrect.jpeg'
71.0809 	EXP 	image: autoDraw = True
72.0494 	EXP 	New trial (rep=2, index=1): OrderedDict([('word', 'blue'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
72.0814 	EXP 	image: autoDraw = False
72.0814 	EXP 	Target: color = 'green (named)'
72.0814 	EXP 	Target: text = 'blue'
72.5637 	EXP 	Target: autoDraw = True
72.9096 	DATA 	Keypress: down
72.9317 	EXP 	Target: autoDraw = False
72.9317 	EXP 	image: image = 'correct.jpeg'
72.9317 	EXP 	image: autoDraw = True
73.9165 	EXP 	New trial (rep=2, index=2): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
73.9311 	EXP 	image: autoDraw = False
73.9311 	EXP 	Target: color = 'green (named)'
73.9311 	EXP 	Target: text = 'green'
74.4313 	EXP 	Target: autoDraw = True
74.8081 	DATA 	Keypress: left
74.8172 	EXP 	Target: autoDraw = False
74.8172 	EXP 	image: image = 'incorrect.jpeg'
74.8172 	EXP 	image: autoDraw = True
75.7673 	EXP 	New trial (rep=2, index=3): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
75.7810 	EXP 	image: autoDraw = False
75.7810 	EXP 	Target: color = 'red (named)'
75.7810 	EXP 	Target: text = 'red'
76.2646 	EXP 	Target: autoDraw = True
76.6105 	DATA 	Keypress: down
76.6320 	EXP 	Target: autoDraw = False
76.6320 	EXP 	image: image = 'incorrect.jpeg'
76.6320 	EXP 	image: autoDraw = True
77.5834 	EXP 	New trial (rep=2, index=4): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
77.5982 	EXP 	image: autoDraw = False
77.5982 	EXP 	Target: color = 'blue (named)'
77.5982 	EXP 	Target: text = 'blue'
78.0820 	EXP 	Target: autoDraw = True
78.5118 	DATA 	Keypress: right
78.5316 	EXP 	Target: autoDraw = False
78.5316 	EXP 	image: image = 'correct.jpeg'
78.5316 	EXP 	image: autoDraw = True
79.5167 	EXP 	New trial (rep=2, index=5): OrderedDict([('word', 'yellow'), ('colour', 'yellow'), ('congruent', 1), ('corrAns', 'up')])
79.5324 	EXP 	image: autoDraw = False
79.5324 	EXP 	Target: color = 'yellow (named)'
79.5324 	EXP 	Target: text = 'yellow'
80.0321 	EXP 	Target: autoDraw = True
80.4227 	DATA 	Keypress: down
80.4987 	EXP 	Target: autoDraw = False
80.4987 	EXP 	image: image = 'incorrect.jpeg'
80.4987 	EXP 	image: autoDraw = True
81.4002 	EXP 	New trial (rep=2, index=6): OrderedDict([('word', 'blue'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
81.4154 	EXP 	image: autoDraw = False
